@relation 'CommitMessages'

@attribute Text string
@attribute class-att {negative,positive}

@data
'and already handled ',negative
'and the version the calling program this optional you dont want give out this info please enter ',negative
'append nothing standard says this equivalent action and some dbs oracle dont accept action ',negative
'appending labels with optional components ',negative
'are limiting all columns then need reread because not know have all the data not ',negative
'are more columns left part page ',negative
'are the closing event the session main window dont want send this event again therefore pass withevents false ',negative
'arrayliststring result new arrayliststring ',negative
'artifactxmlbean ',negative
'assert flawed because canwrite does not work asserttruefile set readonly fcanwrite ',negative
'assert flawed because canwrite does not work asserttruefile set readonly fcanwrite ',negative
'assume that classes and attributes wont the same completion list classes will completed fully qualified when the user works with fully qualified class names ',negative
'axion doesnt allow column alterations the nullable attribute fortunately doesnt require this add primary key ',negative
'backup directories ',negative
'bad export not proceed with command the exportdata method has already put message the user saying the export failed ',negative
'begin code related printing ',negative
'below equivalent the following stringvalueresult xmltypegetstringval ',negative
'below equivalent the following xmltype xmltypecreatexmlo ',negative
'best guess read object this probably the wrong thing here but dont know what else try ',positive
'better safe than sorry ',negative
'binary data viewing option which radix use this object only nonnull when the data binary data ',negative
'bit ',negative
'blobs are different from normal data types that what actually read from the descriptor pointing the data rather than the data itself during the initial load the table the values read from the descriptor may have been limited but the descriptor itself has been completely read therefore not need reread the datum from the database because know that have the entire descriptor the contents the blob have been limited during the initial table load that will discovered when check the cell editable and the full data will read that time using this descriptor ',negative
'blues bold ',negative
'bookmarks only available with the bookmarks pluginnget the plugin from wwwsquirrelsqlorg its free ',negative
'both have actual data compare the strings note that one has read all the data and the other has read only part the data that will say that they are not equal ',negative
'both these throw exception claiming that got clob and expected number inconsistent data types null javasqltypesclob ',negative
'break ',negative
'button bottom dialog jpanel btnspnl new jpanel jbutton okbtn new jbuttonok ',negative
'cache file path message panel ',negative
'call the datatype object for this column and have check the current value ',negative
'call the function the app code that saves the data the persistant storage database the success failure that function indicated the absance presence result errporwarning message determines the result this call since the table supposed editable should have object set our super class ',negative
'call the underlying model get the whole data possible ',negative
'can done follows sqlserver insert into mytableidname select pizza union select donuts union select milk ',negative
'can use empty clob for editing ',negative
'cancel any current cell editing operations ',negative
'cancel statement perhaps the driverrddbms does not support cancelling statements see logs for further details ',negative
'cannot alter columns null attribute directly only through constraints not only that but its apparently not valid thing create primary key using column that has been made not null via check constraint therefore the only columns that qualify made pks are those that were declared not null the time table creation ',negative
'cannot blank ',negative
'cannot delete rows readonly table ',negative
'cannot execute null command ',negative
'cannot insert row into readonly table ',negative
'cannot mock dtproperties because designed accessed statically simulate missing property ',negative
'cannot mock urls they are final and they cannot subclassed ',negative
'cannot pass byte array classforname ',negative
'cannot remove all the fields from the use columns list ',negative
'cannot think any reason for doing anything all here ',negative
'cannot use sequence for the default value column however could always reference the ssequence trigger ',negative
'cannot use when unsigned ',negative
'canread only returns the file exists cannot fully tested ',negative
'cant fit hide ',negative
'cant work with isessionaction because result window top the session isessionaction null ',negative
'cascade constraints checkbox ',negative
'case already exists ',negative
'case return ',negative
'case the connection wont able tell its auto commit state this the best default have ',negative
'catalog ',negative
'catalog ',negative
'cell importexport file not found for user first time user ran pgm ',negative
'change body created methods use file settings file templates ',negative
'change body overridden methods use file settings file templates ',negative
'changes will made when squirrel restarted ',negative
'check box for whether read contents during table load not contents when table first loaded ',negative
'check box for whether show newlines for incell display ',negative
'check ensure that the tokenizer received not the default one that should have been overridden ',negative
'check for informix has very special qualified names ',negative
'check for malformed xml text that happens contain with corresponding ',negative
'check for max size reached only works when provides nonzero scale info ',negative
'check for possibly bad return from child ',negative
'check for user deletes last thing field ',negative
'check for whitespace ',negative
'check option not supported ',negative
'check reference equality sure that isnt the exact same object ',negative
'check see directory and convert tofile the name the file that directory ',negative
'check see hit the end the file without processing the current record ',negative
'check see new data same old data which case not update the underlying data this not optimization though does speed things need this avoid error when check for rows being changed the the new value and old value are the same when look see any rows already exist with the new value will find the existing row and claim that the update will make one row identical the changed row that there will two identical rows the which not true avoid the problem not updating the the data has not been changed this can happen user changes the cell contents then changes them back before exiting the cell ',negative
'check sure get only one schema ',negative
'check that did not just add char null ',negative
'check that the text valid representation ',negative
'check the error stream for problem this bit questionable since possible for processes output something stderr but continue processing but without this some problems are not seen bad argument type messages from the process ',positive
'checkbox for java defaultnondefault format ',negative
'checking make sure the correct files were are listed the array ',negative
'checking make sure the correct files were are listed the array ',negative
'checks the former message should highlighted history color ',negative
'childs ',negative
'choose source directory ',negative
'chop off check column ',negative
'class name for the jcc sqlexception class ',negative
'class that displays the various formats available for dates ',negative
'clause ',negative
'cleanup resources used ',negative
'clob cannot used where clause ',negative
'close ',negative
'close all file viewers ',negative
'close existing session ',negative
'code completion has been done within code completion now just replace what all candidates have common ',negative
'coding convenience create reference the text component that typecast jtextcomponent this not essential could typecast every reference but this makes the code cleaner ',negative
'coding convenience create reference the text component that typecast jtextcomponent this not essential could typecast every reference but this makes the code cleaner ',negative
'coldefs columnindices computewidths datasetdefinition new ',negative
'coldefs not same order search for matching coldef entry note linear search here will normally not too bad because most tables not have huge numbers columns ',positive
'column ',negative
'column list ',negative
'column list ',negative
'column modify ',negative
'column not model ',negative
'column row ',negative
'columns ',negative
'columns ',negative
'columns defined return generic class avoid anything throwing exception ',negative
'columns for the selected procedure ',negative
'columns used where clause when editing table ',negative
'columntab new ',negative
'command ',negative
'command returned nonstandard value ask user before proceeding ',negative
'common expectations ',negative
'common mock objects ',negative
'completion will work better you use the syntax plugin get from squirrelsqlorg its free ',negative
'compute available height above the cursor ',negative
'configurations ',negative
'contents ',negative
'contents when table first loaded and display string ',negative
'context instance declaration ',negative
'controlling ',negative
'conversion constants ',negative
'convert all columns key not null this doesnt hurt they are already null ',negative
'convert bytes bytes ',negative
'convert bytes bytes ',negative
'convert each byte and put into string buffer ',negative
'convert each string into classname prop value and fill into the data ',negative
'convert file text into string special case some systems tack newline the end the text read assume that last char newline that want everything else the line ',negative
'convert file text into string special case some systems tack newline the end the text read assume that last char newline that want everything else the line ',negative
'convert files without nativeascii output dir ',negative
'convert layered panes coordinates ',negative
'convert number conversion issue into issue for consistancy ',negative
'convert signed unsigned ',negative
'convert the char into its numeric value ',negative
'copy the header data from the column array the header string array ',negative
'copys the distinct values from the source column into the lookup table ',negative
'could tell user here that export was canceled but dont think its necessary and that avoids forcing user yet another annoying mouse click ',negative
'count ',negative
'create add sequence sql ',negative
'create all the gui objects now ',negative
'create column model ',negative
'create data structure containing contents rows deleted cannot use the getrow method because that uses myjtable whereas the indexes that have are indexes the sortabletablemodel ',negative
'create empty set for the not use list ',negative
'create empty set for the use list ',negative
'create force view not exists newviewname columnname select create view viewname selectstatement with checkoptiontype checkoption ',negative
'create index indexname indextype tblname indexcolname indexcolname colname length asc desc indextype using btree hash note indextype unused the moment because the index dialog doesnt accept this see below ',negative
'create new bookmark manager ',negative
'create new columns table ',negative
'create new object hold the different value but use the same internal clob pointer the original ',negative
'create new object hold the different value but use the same internal clob pointer the original ',negative
'create self and ',negative
'create sequence increment integer start with integer maxvalue integer nomaxvalue minvalue integer nominvalue cycle nocycle cache unsignedinteger nocache order noorder ',negative
'create sequence sequencename startwith increment minimum maximum cache cycle ',negative
'create spinner for update period ',negative
'create the analysis dialog using the edt and wait for finish ',negative
'create the buttons for input done and cancel ',negative
'create the file open ',negative
'create the hashmap names use and put editwherecols ',negative
'create the imput stream that datatype objects dont have ',negative
'create the jtable for input and put the top window ',negative
'create the panel and add the gui items ',negative
'create trigger sql for column that autoincremented ',negative
'create unique storageoption index indexname tablename columnname separator ',negative
'create updatecancel controls using default layout ',negative
'create view viewname selectstatement with checkoptiontype checkoption ',negative
'create view viewname selectstatement withcheckoption ',negative
'creates the lookup table with its columns depenting the mode ',negative
'creating filter that catches directories ',negative
'creating filter that catches tst files ',negative
'csv excel ',negative
'currently milestone axion doesnt support schemas like other databases set the schema emtpy string detect axion session ',negative
'currently openedge only supports the pub schema for sequences ',negative
'cut table image and draw the page ',negative
'data converted update the table ',negative
'data editable popup ',negative
'data object assume already validated ',negative
'data objects ',negative
'data string need convert real object ',negative
'database has been asked cancel the statment ',negative
'database options ',negative
'database session statistics ',negative
'databaserelated functions ',negative
'databaserelated functions ',negative
'databaserelated functions ',negative
'dataholder res getexecutionplan argv databaseretobject ',negative
'datatype column result set int data rsgetintidx ',negative
'datatypes may limit the initial data read from the minimize the time needed for the initial load the table edit the contents cell require that the entire contents the data element present the cell before editing therefore ask the datatype need reread the data contents without limiting and that read needed there problem during the read cannot identify exactly one row the matching the current row the table then the cell not editable the reverse not true succeed reading the data there may still other reasons why cannot edit need check for being editable after the read ',negative
'deactivate indexes during restore restore without creating shadows not reserve space for record versions restores one table time not restore database validity conditions replace database from backup file override old page size new page size restore ',negative
'dec est overflow fat file systems and the call fails ',negative
'default behavior appropriate data type found create simple jtextarea with special handling theory this cannot happen because there data type object for this columns data type then iseditableinpopup returns false should not get here there data type object and iseditableinpopup returns true then would have executed the return statement above assume that the value can represented string ',negative
'default hex unknown base passed ',negative
'default null types return only cached types ',negative
'default nullable use null ',negative
'default nullable use null ',negative
'default point define font relative that ',negative
'define filter select only names using the filebase ',negative
'delete last ',negative
'delete the old file ',negative
'delete the row from the table ',negative
'delete when null original value ',negative
'deletes the ',negative
'deletes the last ',negative
'delimiter sets the separator that tells when procedure this mysqlspecific ',negative
'description needed handle conversion data tofrom object ',negative
'desired get fancy and use icons buttons instead text ',positive
'destination database doesnt support copying tables into objectsn please select schema paste into ',negative
'destname destname ',negative
'detail tabs procedure tab ',negative
'detect whether not the object tree needs refreshing comparing old value new and see they changed ',negative
'determine size grid tile into for cells ',negative
'determine the position place the new internal frame ensure that the right end the internal frame doesnt exend past the right end the parent frame use fudge factor the dimwidth doesnt appear get the final width the internal frame where ptx dimwidth parentboundswidth the new internal frame still extends past the right end the parent frame ',negative
'developers should write english props ',negative
'dialect delegate for the progress database todo progress specification says that the sum all column lengths table row may not exceed need add interface method the hibernatedialect interface that takes array lengths and and checks the sum columns for row this maximum number may different across databases this check method needs implemented each dialect author manningr ',positive
'different only type same name ',negative
'directory containing the standard laf jar files ',negative
'directory not directory ',negative
'display the frame ',negative
'display the result set ',negative
'display the result set metadata ',negative
'dist ',negative
'does not support column comments ',negative
'doesnt exist prompt create ',negative
'doesnt support cascade set default set null for constraint update action ',negative
'doesnt support dropping column ',negative
'doesnt support set default for constraint delete action ',negative
'done before actually reading the data from the resultset done after reading the data from the resultset oracle throws when processing resultsetmetadata methods for the resultset returned for ',negative
'done dispose itself because listeners must fired even donothingonclose mode ',negative
'done this late that plugins have time register expanders with the object tree prior being built ',negative
'dont change the case the identifier database allows mixed case ',negative
'dont forget set this the number statements result ',negative
'dont invokelater here shortcutkey sent the internal frame seen under java version and linux ',negative
'dont know this type can used where clauses always exclude ',negative
'dont show foreignkeys dialog only one index exists modified ',negative
'dont show indexes dialog only one index exists modified ',negative
'dont stub return because want verify that the object filter was actually used ',negative
'dont support switching the entry control during session because serveral things that are attached the entry control from outside this plugin would need reinitialze too for example code completion and edit extras synchronized session factory isqlentrypanel pnl ',negative
'dont use real type axion sets the column size default yet can handle more precision data being copied from the real column can potentially larger than what the column claims support this will problem for other databases that pay attention the column size todo perhaps reintroduce the real type but use the new getprecisiondigits max out the precision ',positive
'dont yet have the need discriminate version ',negative
'double headerwidth tableheadergetwidth scale ',negative
'double pagebottom pagetop clipheight headerheight ',negative
'double zoom ',negative
'downloads directory ',negative
'downloadscore directory ',negative
'downloadsplugin directory ',negative
'draw the header every page ',negative
'driver says supports schemascatalogs but doesnt provide schemacatalog nodes try get other nodes ',negative
'drivers ',negative
'driverslist new driverslistapp ',negative
'drop columnname ',negative
'drop conflicts ',negative
'drop constraints before dropping any tables otherwise may drop the child table prior dropping its fks which would error todo this should done the dialects gettabledropsql method for database specific handlingor ignoring this problem ',positive
'drop index index exists ',negative
'drop index indexname ',negative
'drop sequence sequencename cascade ',negative
'drop sequence sequencename cascade ',negative
'drop the existing default value alter table tablename alter columnname drop default ',negative
'dropindexstatement drop index indexname tablename ',negative
'easymock class extension helpers since classextension and interface easymock methods cannot used the same mocks this provides convenience not have specify the package name for classextension mocks ',negative
'editor ',negative
'either the values null and the other not then the data has changed and fallthrough the change process otherwise check the object contents ',negative
'ejbql tokens ',negative
'empty body ',negative
'empty method ',negative
'end bracket params might follow ',negative
'end code related printing ',negative
'end combined export and execute operations ',negative
'end constructor for inner class ',negative
'end mouse listener ',negative
'endkludge ',positive
'ensure that the proper type object selected the object tree ',negative
'entry selected ',negative
'errors detected ',negative
'events ',negative
'example for this code completion should from inner join fetch kpositionen posses where possesartnr sdfsdf ',negative
'excel xls file ',negative
'execute the sql command the sql tab and then display the sql tab ',negative
'execute the sql synchronously ',negative
'execute validator and return results ',negative
'executing ',negative
'existing clob reuse ',negative
'exists you want replace ',negative
'expand all the rows the tree the root non null ',negative
'expanders ',negative
'expanders trigger and index expanders are added inside the table expander ',negative
'expanders trigger and index expanders are added inside the table expander new schemaexpander ',negative
'expect getfile for updated files that were downloaded ',negative
'expect getfile for updated files that will removed ',negative
'expectations that are specific this test ',negative
'expected ',negative
'expected fileoperationinfos for files that will installed ',negative
'export data file ',negative
'export file already exisits would you like replace ',negative
'export object osxfile ',negative
'export object osxfile execute program import back ',negative
'extractors ',negative
'failed normalized strings differ ',negative
'failnot yet implemented ',negative
'failure tests ',negative
'fall through default ',negative
'fall through normal processing this key stroke ',negative
'false ',negative
'field not nullable ',negative
'field not nullable create reasonable default value ',negative
'field not nullable create reasonable default value cannot create default value for unknown data type ',negative
'field not nullable input was not delete have already handled all legal input just tell user this being ignored ',negative
'figure out which column the user clicked can pass the right column description ',negative
'file ',negative
'file complete ',negative
'file does not already exist try create ',negative
'file exists normal and writable see user wants overwrite contents file ',negative
'file name default and cmd null empty make sure this entry not being held ',negative
'file name verification operations are the same for both export and execute that work here for both file name null empty not proceed ',negative
'file object for doing ',negative
'file related functions ',negative
'file related functions ',negative
'file related functions ',negative
'filefilter ',negative
'filling columns ',negative
'final map map return ',negative
'final resources rsrc ',negative
'final textareadefaults dfts columnstyle commentstyle keywordstyle keywordstyle keywordstyle labelstyle literalstyle operatorstyle otherstyle dftsstylestokennull tablestyle ',negative
'finding nonexistent directory create ',negative
'finding nonexistent directory for tests and this necessary because getcanonicalpath case sensitive and could cause failure the test the directory exists but with different case letters temp and temp ',negative
'finished ',negative
'first attempt add data underlying table model ',negative
'first convert internal data into the string array ',negative
'first have the methods for incell and texttable operations ',negative
'first have the methods for incell and texttable operations ',negative
'first have the methods for incell and texttable operations ',negative
'first time through skip the double spacing ',negative
'first time user has run pgm ',negative
'fix the case according what the database tells ',negative
'fixes classcastexception see below ',negative
'fki default startname ',negative
'flag for whether have already loaded the properties not ',negative
'flag indicates changing textarea ',negative
'flaten would turn statement parts comment ',negative
'folder contain extra lafs supplied the user ',negative
'folder store user settings ',negative
'folder that stores themepacks for this laf ',negative
'folder within plugins folder that belongs this plugin ',negative
'for ',negative
'for convenience cast the existing object ',negative
'for convenience cast the object clobdescriptor ',negative
'for convenience cast the value object its type ',negative
'for each element the not use set selected then add use otherwise add new not use set ',negative
'for each row table count how many rows match where clause not exactly one generate message describing situation ',negative
'for entries past the first one use the default renderer ',negative
'for now ignore popup request ',negative
'for now use the same renderer everyone else future change this use new instance renderer for this data type ',positive
'for oracle could say something like where xmlserializecontent coldefgetlabel like value this doesnt appear work oracle the moment will avoid using this column any where clause the value nonnull which what the superclass implementation does todo find way this for both versions split this behavior that works and disabled ',negative
'for pointbase type maps pointbase blob and the size isnt valid requires size for blobs then set something reasonably large like the default size size specified thats practically useless ',positive
'for some reason frontbase doesnt find tables that have been previously created ',negative
'for some reason when the oracle plugin adds details tabs for triggers the tabpnls first tab ends being the trigger details tab and not the generic database object info tab this causes the tabs length tab greater than the tabs that are actually the tabpnl this throws off the selection such that the tab selected the tab panel doesnt get rendered until the tab the right the selected tab selected this workaround for this problem until can determine why the never makes into the tabpnl the first place ',positive
'for testing the live server url lurl new ',negative
'for testing the local machine url lurl new ',negative
'for the serialization test superclass cannot use mockhelper because the replay needs done here ',negative
'force the laf set even tonic the current one this allows changes take affect ',negative
'foreign key ',negative
'front pad with zeros and add output ',negative
'frontbase describes its tables base table ',negative
'fudge for larger inset windows ',negative
'fulltext indexes ',negative
'generally for keytyped this means add the typed char the end the text but there are some things control chars that are ignored let the normal processing its thing ',negative
'get all the data types available ',negative
'get each datatypes info ',negative
'get each tables info ',negative
'get list all plugin developers names allow for multiple developers for plugin the form john smith james brown ',negative
'get name file which must exist ',negative
'get osxfile for export external processing ',negative
'get parameters previously set user set default values set use the java default ',negative
'get primary key info for table ',negative
'get the default values from the for the table columns ',negative
'get the hashmap for this type create this new property ',negative
'get the history into array ',negative
'get the nullability information and pass into the resultset unfortunately not all dbmss provide the column number object stated the sql documentation have guess that the result set column order ',negative
'get the real name for use later ',negative
'get the releasexml file channelxmlbean from the server filesystem ',negative
'get the tableinfo for the selected object the tree ',negative
'get the text converted ',negative
'get the values from the controls and set them the static properties ',negative
'get the values from the not use list ',negative
'get the values from the not use list and convert sorted set ',negative
'get the values from the use list ',negative
'get where clause the says ignore the last arg and use the contents the values array for the column that care about however since the data that column has been limited when getwhereclause calls that datatype with that value the datatype will see that the data has been limited and therefore cannnot used the where clause some cases may possible for the datatype use the partial data such matches data but that may not standard accross all databases and thus may risky ',negative
'getcolumnaddsql ',negative
'getcolumndropsql ',negative
'getinsertintosql ',negative
'getroot doesnt appear return the deepest window but the first one you have dialog owned window you get the dialog not the window ',negative
'gets ',negative
'getters and setters ',negative
'getting javasqldriver run shutdown command ',negative
'getupdatesql ',negative
'gfillovalintzoomfpx rad intzoomfpy rad rad rad ',negative
'global misc ',negative
'groups ',negative
'guaranteed nonnull ',negative
'guard against something really stupid ',negative
'gui components need here because they need accessible from the event handlers alter each others state ',negative
'gui components need here because they need accessible from the event handlers alter each others state ',negative
'gwg xml format check code ',negative
'hack deal with firebirds rdb meta tables ',positive
'hack deal with ingres iie meta tables ',positive
'hack deal with sybases sys tables ',positive
'hack some dbs like frontbase dont support boolean types ive tried tinyint bit and boolean the column type and setboolean fails for all three its mystery this point what column the methods actually work iin frontbase ',positive
'hand file input stream datatype object for import also handle file errors here that datatype objects not have ',negative
'handle ascii chars irrespective the radix the second byte will always space when the data displayed single ascii character ',negative
'handle cases null the only legal input this case delete ',negative
'handle cases null the processing different when nulls are allowed and when they are not ',negative
'handle crossconnection between fields ',negative
'handle mouse events for doubleclick creation popup dialog this happens only the jtextfield not the jtextarea can make this inner class within this method rather than separate inner class done with the keytexthandler class ',negative
'handle null ',negative
'handle null which shown the special string null ',negative
'handle special case delete with null contents ',negative
'handle table source ',negative
'handy have the cannonical path name show user error messages since getting that name might involve ioexception need put inside try statement however since the file does exist there good reason for getting ioexception this point but get one there something seriously wrong and want abort therefore make sense get that name here and save for later use ',negative
'has snapshot iterators that dont support iteratorremove ',negative
'have appropriate data type object ',negative
'have core translation file that not already installed add ',negative
'have seen the reference the outer class being null when this method called have seen only with the runtime jars and linux could not reproduce ide ',negative
'have the datatype object fill the appropriate kind value into the appropriate variable position the prepared stmt ',negative
'have the whole contents the clob ',negative
'helper methods ',negative
'helper methods ',negative
'here the max line length original line size doesnt get trimmed white space ',negative
'here the replacement ',negative
'here use index inside column names that dont have alias the columns the dialect different dialects call these sequence information columns different names just make sure preserve the order the dialect lastvalue maxvalue minvalue cachevalue incrementby iscycled ',negative
'history file not found for user first time user ran pgm ',negative
'hold the state ',negative
'how use timestamp where clauses default sql standard ',negative
'iapplication application getapplication null false ',negative
'ibm specific code read procedure definitions ',negative
'ident annotation noin ',negative
'ignore any sqlexceptions this would only could not get column info from the sql database meta data ',negative
'ignore the user input ',negative
'ignore unused ',negative
'imainframe false ',negative
'implementataion delegation ',negative
'implemented all originally supported dialects ',negative
'import and external processing can only done panel editable ',negative
'import object from osxfile ',negative
'import the data back from the same file ',negative
'important process the name change first that can use the new name instead the old subsequent alterations ',negative
'impossible ',negative
'incomplete and error tokenids ',negative
'increases component width pixels ',negative
'increases component width pixels ',negative
'increment ',negative
'index ',negative
'index source ',negative
'index tab ',negative
'infavsnewfoldernew folder ',negative
'infos ',negative
'ininbundlebundle ',negative
'inininfoinfo ',negative
'ininnofilesopenedno file foundnsee message panel for details ',negative
'ininsourcedirsource directory ',negative
'initial load prefs ',negative
'initialize all the laf controllers ',negative
'inject mocks ',negative
'inlafjarsl jars ',negative
'inner class for the data display pane ',negative
'inoraclenosqlno sql selected for execution ',negative
'inoraclerowsrows ',negative
'input the parameter values ',negative
'inserts are not properly separated give ',negative
'instances ',negative
'instantdb least version only returns tables for gettabletypes you try use this call tables will found for the moment hard code the types for instantdb ',negative
'int featureid string msg featureid throw new ',negative
'int progress loadschemas load tables with catalog null ',negative
'internal class for handling key events during editing both jtextfield and jtextarea ',negative
'internal class for handling key events during editing both jtextfield and jtextarea ',negative
'internal class for handling key events during editing both jtextfield and jtextarea ',negative
'internal class for handling key events during editing both jtextfield and jtextarea since neither cell nor popup are allowed edit just ignore anything seen here ',negative
'internal states inside white space inside line comment inside block comment inside string constant inside string constant after backslash inside char constant inside char constant after backslash inside identifier slash char after after after after after after after after after after after after after after after after integer number octal number double number double number hex number after ',negative
'iobjecttreeapi api ',negative
'its error have and octal number ',negative
'its primary just write without the filegroup prefix ',negative
'jason make menu smarter when second window for the same session added create hierarchical menu for all windows for the session ',positive
'jason messages height should stored with this ',negative
'jason what are its valid values ',negative
'javasqltypes ',negative
'jdbc driver failedncan not load driver properties tab ',negative
'jinternalframe frames ',negative
'jmh for additional performance could utilise the fixedtablesequence column from the session investigate which rows need updated refresh see vsession doco for more info ',negative
'jmh remove the current sql text create tabbed pane for session details including sql text ',negative
'jsplitpaneright ',negative
'just add the tab ',negative
'just case table editable call creator set cell editors ',negative
'just finish cant sleep until ensure there nothing else for use try again keep track this ',negative
'just helper make the fromresultset below look nicer ',negative
'just plain data ',negative
'just send the text the output file ',negative
'keylistener indicate changing text ',negative
'keys that can embedded templates for replacement later ',negative
'know that its not interesting show any code above where get involved event dispatch stop printing the stack trace when get far back our code ',negative
'labels ',negative
'labels should stay put while userinput fields are allowed grow the user desires ',negative
'last value ',negative
'layout ',negative
'least more row left ',negative
'leftdataaddrow rightdataaddrow ',negative
'let user enter for true and for false ',negative
'light blue colors ',negative
'light yellow ',negative
'line separator for easy using ',negative
'line should look like this line with spanembedded keyspan ',negative
'lis ',negative
'load cell importexport selections from persistant storage ',negative
'load filename and command with previously entered info not the default ',negative
'load info about the standard lafs that come with this plugin ',negative
'load plugin preferences ',negative
'load resources ',negative
'load resources such menu items etc ',negative
'load sql history from persistant storage ',negative
'load the info into the text fields ',negative
'load the local releasexml file channelxmlbean ',negative
'local constraint ',negative
'lock tab ',negative
'logger for this class ',negative
'loginfosql executed sql ',negative
'loginfosql starting execute sql ',negative
'look for illegal chars ',negative
'look forward ',negative
'main window ',negative
'make few calls ',negative
'make sure the entire clob data read return true has been read successfully and false not ',negative
'make sure there instance ',negative
'make the button looks the same for all lafs ',negative
'make the shortcut visible the popup ',negative
'making nice rollover effect use the same listener for all buttons ',negative
'malformed uri ',negative
'map for quick lookup later want pass tablecolumninfos the dialect not merely column names ',negative
'matt dahlman this causes problems with the jdbc driver delivered with teradata ',negative
'max size reached ',negative
'maximum ',negative
'maximum time wont warn about ',negative
'maybe with inner join better performance ',negative
'menu for rightmouseclick when cell editors ',negative
'menues that are also shown the main window session menu might this popup dont remove them the session wont garbage collected ',negative
'merge columns existing column ',negative
'merge columns new column ',negative
'method tests ',negative
'might also catalog schema name ',negative
'minimum ',negative
'misc ',negative
'misc functions based oracle dialect ',negative
'mmmysql driver doesnt support null for column name ',negative
'mock objects ',negative
'mock objects ',negative
'mock objects ',negative
'mock objects ',negative
'mockapplication ',negative
'mockconnection ',negative
'mockfontinfo ',negative
'mocksqlconnection ',negative
'mocksqldriver ',negative
'mockthreadpool ',negative
'mode ',negative
'modified autocompute column widths computewidths true ',negative
'more space above ',negative
'more space below ',negative
'more than one selection allowed check see should change the selection ',negative
'move over leading whitespaces ',negative
'must iterate through this descending order avoid removing say item making item into item inadvertently removing item ',negative
'must provide export file name ',negative
'myid myid stringtemplate new ',negative
'mysql allows statement separators procedure blocks the process tokenizing above renders these procedure blocks separate statements which are not valid executed separately here reassemble any create statements that find using the beginning procedure block pattern and the procedure separator ',negative
'mysql and below mysql and above ',negative
'mysql disallows quoted column identifiers ',negative
'mysql disallows quoted column identifiers when adding primary key ',negative
'mysql disallows quoted column identifiers when dropping column ',negative
