@relation 'CommitMessages'

@attribute Text string
@attribute class-att {negative,positive}

@data
'all where ',negative
'allocate the current session the actions ',negative
'allowseditingfalse ret ',negative
'already existsnndo you wish overwrite this file ',negative
'alter column clauses ',negative
'alter default clauses ',negative
'alter name clauses ',negative
'alter sequence sequencename increment increment minvalue minimum maxvalue maxvalue restart with restart cache cache cycle ',negative
'alter sequence sequencename restartwith startvalue incrementby incrementvalue ',negative
'alter table fktestchildtable add constraint fooconst unique myid ',negative
'alter table foo add constraint foocon unique myid ',negative
'alter table table add constraint constraint ',negative
'alter table table add constraint constraint foreign keycolumn references tablecolumn delete set null ',negative
'alter table tablename add constraint constraintname unique index indexname indextype indexcolumnname ',negative
'alter table tablename add constraint unique columnlist constraint constraintname ',negative
'alter table tablename add foreign key referencingcolumn references referencedtable referencedcolumn deleterule ',negative
'alter table tablename alter column columnname identity ',negative
'alter table tablename alter columnname set data type datatype ',negative
'alter table tablename drop column columnname ',negative
'alter table tablename drop constraint constraintname ',negative
'alter table tablename modify columnname mediumint not null autoincrement primary key ',negative
'alter table test alter mychar set default foo alter table test alter mychar drop default ',negative
'alter table test drop constraint utest ',negative
'alter table tigetsimplename add foreign key fktablecol references ',negative
'alter type clauses ',negative
'alter view oldtablename rename newtablename rename oldtablename newtablename ',negative
'alterations fail for some reason unless you this ',negative
'always add plugins there not good way compare plugin zips and their extracted contents the moment todo determine the best way derive the filesize and checksum the plugin zip that was last extracted should keep around how about using the current releasexml file come think perhaps shouldnt computing the checksum any existing files why dont just get from the current releasexml file ',positive
'always get the blob even when are not reading the contents since the blob just pointer the blob data rather than the data itself this operation should not take much time opposed getting all the data the blob ',negative
'always thrown said embedded derby api not error info ',negative
'always use column name since name changes happen first ',negative
'always wrap word boundaries ',negative
'and cache ',negative
'and data ',negative
'and feel ',negative
'and indexes after each table ',negative
'and indexes end script ',negative
'and the query info ',negative
'and uses userdefined function that used determine the syntax error token ',negative
'and you cannot write itnplease use different name ',negative
'another object that has the same values the original ',negative
'another object with different values ',negative
'anticipate the same issue for blobs for binary and longvarbinary bit varyingl ',negative
'anticipate the same issue for varbinary for binary and longvarbinary bit varyingl ',negative
'any errors here result uneditable table which should problem ',negative
'any other components are the right ',negative
'app app ',negative
'appear quotes ',negative
'append the new tables the new array starting the end the original ',negative
'appending internationalized labels with optional components ',negative
'appending separators ',negative
'applicable objects type ',negative
'applicable selected targets ',negative
'appropriate datatype for this column the best can with what know this may not the best behavior here ',positive
'aputbuiltby manningr argmapgetbuiltbykey ',negative
'are blocked member deadlock chain but not belong the deadlock chain ourselves this prevents forever loop ',negative
'are displaying new dataset there was cell editor operation tell cancel how does this impact popup display ',positive
'are limiting some things the string have less than the limit then are and not need reread because already have the whole thing ',negative
'are not limiting anything return false ',negative
'are playing some games with the lexer for efficiency could just create new lexer each time here but instead will just reset that thinks starting the beginning the document but reporting funny start colorstartpos reseting the lexer causes the close method the reader called but because the close method has effect the documentreader can this ',negative
'are ready installed install them now ',negative
'are the last one the list ',negative
'are through with parsing now store the outcome lastrun and tell the listeners ',negative
'are updates available you want download them now ',negative
'are using the oster editor please consider using the netbeans editor see menu file new session properties syntax ',negative
'arrays strings are special case xmlbeanwriter method processproperty array strings turned into list stringwrapper objects the xml presumably that when reading them back have class that can call setters thus when reading back array strings actually read array stringwrappers which gives type mismatch the following arraycopy therefore need convert the data that currently the stringwrapper objects into actual strings ',positive
'artifact name for plugins plugin internal namezip ',negative
'artifactname type installed installupdateremove ',negative
'ascii chars ',negative
'asciiansi escape ',negative
'ask the datatype object the two values are the same ',negative
'assert flawed because canwrite does not work asserttruefile not set readonly fcanwrite ',negative
'assert flawed because canwrite does not work asserttruefile not set readonly fcanwrite ',negative
'assume dbms doesnt support catalogs ',negative
'assume here that the pseudocolumn was used the query then was likely have caused the sqlexception not length then retrying the query wont help just throw the exception ',negative
'assume objs schemacatalog ',negative
'assume that all start tags are include space after the tag name sometag args and all end tags are remove the syntactic markers then remove any spaces and convert upper case for comparison ',negative
'assume unix linux ',negative
'assuming that the columns table match coldefs bump the index point the next coldef entry ',negative
'attempt write file that has previously been written and now set read only ',negative
'attempt write file that setreadonly ',negative
'attribute accessors ',negative
'auto correct abreviation ',negative
'auto correct abreviation ',negative
'auto logon true user namepassword the alias definiton may have changed here transfere this information back into the controls ',negative
'autoincgencolumn ',negative
'automatic updates ',negative
'available ',negative
'available ',negative
'available ',negative
'avoid the hit next time ',negative
'axion cannot handle escape sequence skip this test for now ',negative
'background color ',negative
'background color for object tree ',negative
'background color for status bar ',negative
'background color for toolbar ',negative
'backoff bit after hundred updates allow the update ',negative
'backup ',negative
'backup file ',negative
'backup metadata only inhibit garbage collection save old style metadata descriptions transportable format backup external files tables start backup ',negative
'bad converting url file this way problematic when the file path contains spaces ',positive
'bars ',negative
'base ',negative
'based defaults from get the default object instance for each column ',negative
'basemdiparentframe ',negative
'basic infrastructure ',negative
'bean for the global preferences ',negative
'because column starts with put pos with ',negative
'because the crosscatalog problem lets not invoke this the current catalog isnt equal the catalog specified the url ',negative
'believe the getsimplename will end its procedure and its udf ',negative
'belong together ',negative
'bin tables are flashback database option oracle ',negative
'binary data viewing option view ascii char rather than numeric value ',negative
'binary types ',negative
'binding bytes ',negative
'binding bytes ',negative
'blob cannot used where clause ',negative
'blob exists try read the data from based the users directions ',negative
'blocked that means that doesnt help anymore error dialog shown the connection made and the sessionframe being constructedshown ',negative
'bookmark ',negative
'bookmarks ',negative
'bookmarks ',negative
'boolean isselected isselected isselected ',negative
'boolean isuptodate throws exception ',negative
'both objs are null then they matched the previous test this point know that least one them both not null however one them may still null and cannot call equals the null object make sure that the one call not null the equals method handles the other one being null ',negative
'both objs are null then they matched the previous test this point know that least one them both not null however one them may still null and cannot call equals the null object make sure that the one call not null the equals method handles the other one being null ',negative
'break when first braket found ',negative
'bridge doesnt provide all the necessary metadata the script may incomplete ',negative
'bringing internal frame the front ',negative
'bstopexecution false ',negative
'bufsize ',negative
'build ',negative
'build data ',negative
'build datastructure final cache ',negative
'build the sql statements create the table ',negative
'build the table types returned postgresql ',negative
'but dont cache ',negative
'button has created session this programming error ',negative
'cache ',negative
'cache file ',negative
'calculate the average time item ',negative
'call class under test ',negative
'call sphelp the stored procedure then look the second resultset for the parameter information ',negative
'call the function the app code that checks for unexpected conditions the current ',negative
'call the function the app code that checks for unexpected conditions the will after doing the update ',negative
'called here called far often and restoring selection the object tree doesnt work ',negative
'called when app shutdown todo put throws clause back ',positive
'calls ',negative
'can done follows postgres insert into mytableidname select pizza union select donuts union select milk ',negative
'can have more than one file the string tokenize whitespace let the user know find multiple tokens that they cannot place drop than one file time ',negative
'can only happen for escapemodebackslash ',negative
'can use empty blob for editing ',negative
'cancel ',negative
'cancel statement within one second perhaps your driverdatabase does not support cancelling statements cancelling succeeds later youll get further messages ',negative
'cancel stop ',negative
'canceled user request ',negative
'cannot edit something that not know anything about ',negative
'cannot edit the rowid column present ',negative
'cannot use this data the where clause has been truncated since being truncated the same needing reread only use this the where clause not need reread ',negative
'cant delete records snapshots oracle materialized views ',negative
'cant paste from session that longer around ',negative
'canwrite only returns the file exists cannot fully tested ',negative
'cascade constraint clauses ',negative
'case ',negative
'case isaslash state init return ',negative
'case jdk annotations return new coloringnull new color null ',negative
'case return new ',negative
'case shouldnt changed this test because the context the source database ',negative
'case superclass modifies them ',negative
'cast not nice but framework doesnt meet new requirements ',positive
'catalog objects using these commadelimited prefixes ',negative
'catalog schema tablename columnname datatype char typename columnsize decimaldigits radix isnullallowed defaultvalue isnullable ',negative
'catalog schema tablename columnname datatype typename columnsize decimaldigits radix isnullallowed remarks defaultvalue octet length ordinal position isnullable ',negative
'catalog schema tablename columnname keysequence pkname ',negative
'catalogs ',negative
'causes lot pain serveral places cope with nulls emptys here ',negative
'causes npe jdk contentstxtsettext ',negative
'cell importexport selections ',negative
'cell related methods come next ',negative
'center text vertically ',negative
'change log ',negative
'change the delay and start was stopped ',negative
'changes ',negative
'changes this configuration ',negative
'changes will made when squirrel restarted ',negative
'channel that provides snapshot release updates more frequent and less stable ',negative
'channel that provides stable release updates ',negative
'channnel combobox ',negative
'character ',negative
'characters dont match but case may ignored try converting both characters uppercase the results match then the comparison scan should continue ',negative
'characters the beginning line indicate that whole line comment ',negative
'chars ',negative
'check ',negative
'check box for whether any limiting the data read during initial table load ',negative
'check box for whether read contents during table load not ',negative
'check box for whether use java default localedependent format ',negative
'check box for whether use longvarchar where clause oracle does not allow that type where clause ',negative
'check failed ',negative
'check filename preserved correctly ',negative
'check for digit ',negative
'check for identifier ',negative
'check for the case where are limiting some columns but not limiting this particular column ',negative
'check null argument handled ',negative
'check once day check once week check every time the app launches ',negative
'check see have read the header record yet ',negative
'check see our current holder array for column chunks still big enough handle another column chunk ',negative
'check see the column index within the bounds our header array ',negative
'check see the string file uri ',negative
'check see weve already found the end data ',negative
'check the total number digits the number since the string version the number therepresentation the digits that number and including possibly plus minus and decimal start counting the number digits the string ',negative
'check this completion request outside the original definition point ',negative
'checkbox ',negative
'checkbox for displaying newlines incell ',negative
'checkbox for limitnolimit data read during initial table load ',negative
'checkbox for readnotread table load ',negative
'checkbox for using long where clause ',negative
'checkbox for whether interpret input leniently not inexact format input ',negative
'checkbox for whether interpret input leniently not inexact format input ',negative
'checkbox for whether interpret input leniently not inexact format input ',negative
'chfields new ',negative
'child tables ',negative
'chooser error ',negative
'chop off default column ',negative
'clanguage routine the source code unavailable ',negative
'class ',negative
'class ',negative
'class ',negative
'class name ',negative
'class path ',negative
'class sucessfully registered for driver definition ',negative
'class test ',negative
'class under test ',negative
'classpath entries create sessionfactoryimpl ',negative
'classpath entry ',negative
'clause ',negative
'clause for the selected table ',negative
'clause for the selected table ',negative
'clauses ',negative
'cleanup and standardize the name and add the map ',negative
'clear ',negative
'clear any previous plan ',negative
'clear public column values for current line ',negative
'clear session info from all actions ',negative
'clearing the log contents ',negative
'click table object tree add graph ',negative
'clob exists try read the data from based the users directions ',negative
'clob placeholder amongst data exported continue exporting cell data ',negative
'clobs are different from normal data types that what actually read from the descriptor pointing the data rather than the data itself during the initial load the table the values read from the descriptor may have been limited but the descriptor itself has been completely read therefore not need reread the datum from the database because know that have the entire descriptor the contents the clob have been limited during the initial table load that will discovered when check the cell editable and the full data will read that time using this descriptor ',negative
'clone the test bean and change every bean property ',negative
'close any previous logging ',negative
'close statement propably the driverrddbms does not support canceling statements see logs for further details ',negative
'close the proper tab clicking the button ',negative
'close the resultset ',negative
'close the resultsets statement nonnull this frees open cursors ',negative
'closed the ctrl key see ',negative
'closed the ctrl key see ',negative
'clustered unique primary key located primary ',negative
'code ',negative
'code completion ',negative
'code completion has been done within code completion and relaunch completion popup ',negative
'code template ',negative
'coldefs hdgs ',negative
'coldefsiisnullable nullable not nullable precision scale coldefsigetscale ',negative
'colladdnew resources this ',negative
'colladdnew resources this usersettingsfolder colladdnew resources this usersettingsfolder ',negative
'collation ',negative
'color ',negative
'color ',negative
'color ',negative
'color values etchedborder etchedborder new ',negative
'colormaroon ',negative
'colorpink ',negative
'colorred ',negative
'cols are same order coldefs ',negative
'column ',negative
'column ',negative
'column ',negative
'column ',negative
'column ',negative
'column ',negative
'column both table and ',negative
'column has not the required formatnline column ',negative
'column headers ',negative
'column internal name ',negative
'column limited and length limit need reread column not limited have the whole thing ',negative
'column loaded status ',negative
'column name ',negative
'column name sqltype ',negative
'column row ',negative
'column table but not table ',negative
'column table but not table how else would get here ',negative
'columnname ',negative
'columnname type computed length prec scale nullable trimtrailingblanks collation location char yes yes latingeneralcias totalbilledamnt money yes null ',negative
'columns ',negative
'columns are selected and were not dropping the then there nothing ',negative
'columns cell edit ',negative
'columns drop ',negative
'columns find matching columns ',negative
'columns for primary key ',negative
'columns for the selected table ',negative
'columns have not yet been loaded ',negative
'columns that are automatically updated when the row updated ',negative
'columntab ',negative
'combining temp files into dump file ',negative
'combo box for readallreadpart blob ',negative
'command ',negative
'command ',negative
'command executable ',negative
'command file will replaced export file name ',negative
'command the string replaced the file name when executed ',negative
'command use when processing data with external program ',negative
'comment ',negative
'common mocks ',negative
'common mocks ',negative
'comparable comparabledata return ccomparetodata iascending ',negative
'competion infomation still being loadedntry again later ',negative
'complete table ',negative
'completed ',negative
'completed with errors ',negative
'completing functions squirrel doesnt know function stored procedure user defined function make code completion these two kinds functions convenient squirrel offers configure which way completion should work ',negative
'completion ',negative
'completioninfos are still loading ',negative
'component glue boxcreateglue cgridx cgridy paneladdglue ',negative
'configuration selected configuration ',negative
'configuration selected remove ',negative
'connect ',negative
'connection ',negative
'constraint names ',negative
'constraintkeys looks like this references pubsdbofoo fooid quuxid chop off references ',negative
'constraints ',negative
'constraints tables not selection ',negative
'construct mock objects ',negative
'construct the name executable file ',negative
'constructor tests ',negative
'constructors ',negative
'consult the log for details ',negative
'contents when table first loaded ',negative
'contents when table first loaded and display string ',negative
'contents when table first loaded and display string ',negative
'convention for command returns that means success but this command returned ndo you wish import the file contents anyway ',negative
'convert data from stringwrappers strings ',negative
'convert each column that will member key nonnull this doesnt hurt they are already null ',negative
'convert each string into keyhashmap and fill into the data ',negative
'convert files without nativeascii command ',negative
'convert nullint into varchar ',negative
'convert string special case some systems tack newline the end the text read assume that last char newline that want everything else the line ',negative
'convert the data into ascii representation using the standard convention ',negative
'convert user representation null into actual null ',negative
'copied from java doc matcherreplaceall note that backslashes and dollar signs the replacement string may cause the results different than were being treated literal replacement string dollar signs may treated references captured subsequences described above and backslashes are used escape literal characters the replacement string ',positive
'copy ',negative
'copy action object tree types ',negative
'copy core files minus any jars core downloads directory ',negative
'copy files downloads directory ',negative
'copy the app module jar core downloads directory ',negative
'copys the gathered values into the lookup table ',negative
'copytablelistener interface methods ',negative
'core artifacts are not displayed ',negative
'corner ',negative
'cornervalidate ',negative
'corrections for line break note bookmarks are more powerful than abreviations ',negative
'corresponding columns ',negative
'could also table name ',negative
'could make this expectation more restrictive currently however might have impls that have wildly different queries the future dont want sacrifice flexibility use this test for perceived benefit mirroring the current implementations ',negative
'could not created ',negative
'could not identify which table edit just return ',negative
'could not identify which table edit tell user ',negative
'couldnt locate the table just try fake ',negative
'count ',negative
'count available free threads ',negative
'count for table source database but column count for table destination database ',negative
'count how many rows this where matches ',negative
'counters ',negative
'create ',negative
'create checkbox for enabling auto refresh auto refresh ',negative
'create checkbox for enabling auto refresh auto refresh ',negative
'create checkbox for enabling auto refresh auto refresh ',negative
'create classloader for all the laf jars install all look and feels into the uimanager ',negative
'create column list ',negative
'create empty required files user settings directory ',negative
'create file nchange file name select differnt file for export ',negative
'create filename filter and attach directory ',negative
'create generator empnogen commit set term create trigger createempno for employees before insert position begin newempno genidempnogen end ',negative
'create hashmap containing the column names convention the value and key the same for each column name ',negative
'create mapping names have supertable info since need find the itableinfo again for reordering ',negative
'create mocks injected ',negative
'create new object hold the different value but use the same internal blob pointer the original ',negative
'create nonunique index mychar ',negative
'create sequence increment minvalue nomaxvalue start with nocycle create function nextautoval returning integer return end function finally did get trigger work but had use function create trigger myidtrigger insert for each row execute function nextautoval into myid ',negative
'create sequence not exists newsequencename start with long increment long cache long ',negative
'create sequence sequencename increment increment minvalue minimum maxvalue maxvalue restart with restart cache cache cycle ',negative
'create sequence sequencename increment minimum maximum startwith cache cycle ',negative
'create sequence sequencename increment startwith minimum maximum cache cycle ',negative
'create sequence sequencename integer bigint start with startvalue increment incrementvalue ',negative
'create sequence sequencename start with startvalue increment incrementvalue cache cachevalue ',negative
'create sequence sequencename startwith increment minimum maximum cache cycle ',negative
'create table tablename column int column varchar not null default hello world constraint tablenamepkey primary keycolumncolumn ',negative
'create table with default value use the model ',negative
'create temp filenerror wasn ',negative
'create test bean clone ',negative
'create test view that will get view def for then drop and recreate ',negative
'create the actual panel that will displayed dialog ',negative
'create the dialog with given content ',negative
'create the file ',negative
'create the look and feel register ',negative
'create the new document ',negative
'create the panel and add the gui items ',negative
'create the panel and add the gui items ',negative
'create the panel and add the gui items ',negative
'create the panel and add the gui items ',negative
'create the panel and add the gui items ',negative
'create the threads ',negative
'create the timer but not start ',negative
'create unique ascending descending index index table col col ',negative
'create unique hash index not exists newindexname primary key hash columnname ',negative
'create unique index index table column desc desc ',negative
'create unique index indexname tablename indexspec indexspec indexcolumnname dbfunctionname columnname ascdesc indexcolumnname columnname ascdesc ',negative
'create unique index indexname tablename using btree column column tablespace where constraints ',negative
'create unique index myuniquechar ',negative
'create view name viewcol viewcol select with check option ',negative
'create view viewname definition ',negative
'create view viewnameviewcolumn select from where expression order orderexpression limit limit offset offset ',negative
'created ',negative
'created ',negative
'created ',negative
'created ',negative
'created table ',negative
'createviewstatement create replace view tablename aliasname queryexpression with check option ',negative
'creating filter that catches files ',negative
'creating filter that catches tmp files ',negative
'cse moved this code down here fix repaint problems first display bounds should set before install uninstall the old popup from root pane and install the new one even case they are the same objects its necessary cover the workspace switches etc ',positive
'csv file ',negative
'ctor param msg message describing the error ',negative
'ctor wraps this exception around another param wrapee the exception that this one wrapped around ',negative
'current alias schema properties dont want cache dont cache ',negative
'current schema says dont load ',negative
'current sql history entry area ',negative
'current version the validator webservice cannot handle anything greater than ',negative
'custom query tokenizer ',negative
'cut and paste need worked for now not include them also the copy operations not seem work right may need special versions for the celleditor menu addcut addcopy addcopyhtml addpaste addseparator ',negative
'cycled ',negative
'data ',negative
'data ',negative
'data ',negative
'data ',negative
'data ',negative
'data does not contain any xml tags reformatting done ',negative
'data into ',negative
'data longer than the limit need more checking ',negative
'data must fit into the columns max size ',negative
'data not editable popup ',negative
'data random accessible current token current input character original current input character for token last input character position current character line number current character start position current line ',negative
'data type keyword numericids ',negative
'data type properties ',negative
'data type unknown may unusual type like java object array may dbmsspecific type ',negative
'data types ',negative
'data types ',negative
'data was not fully read before try that now ',negative
'database ',negative
'database drivers that can used configure alias ',negative
'database error occured while inserting data ',negative
'database metadata ',negative
'database name ',negative
'database objects ',negative
'database refresh schema table ',negative
'database users and database roles ',negative
'databaserelated functions ',negative
'databaserelated functions ',negative
'databases ',negative
'datatype object then there nothing handle file cannot ',negative
'datatypes nonstandard sql type codes ',negative
'date ',negative
'date column seen timestamp update editable mode fails should always return false for this when the user hasnt specified ',negative
'date format given ',negative
'datefull ',negative
'datetime types never declare length just return something larger than bypass other checks above ',negative
'dbdialect dbdialect ',negative
'dbname the sessions url set but the sessions current catalog set nnsql server doesnt support this most cases this current issue ',negative
'dbpkcol used create when using doesnt allow you add table after has been constructed unless the columns that comprise the were originally there when created and created not null ',negative
'dbsqlca sqlca dbdiagnosable tgetsqlca ',negative
'dbstatus statusonline useraccessmultiuser recoverysimple version sqlsortorder ',negative
'ddl ',negative
'deadlock chain circular and does not have defined beginning pid order make the string representation deadlock chain unique put the smallest pid the beginning the chain ',negative
'debug log set output stream successfully ',negative
'debug log set writer successfully ',negative
'decimal digits strongly suggests integer some type since its not real easy tell what kind int int int int just make int bigint ',negative
'default behavior datatype object use the with modification ',negative
'default behavior tostring ',negative
'default format ',negative
'default format ',negative
'default format ',negative
'default formating ',negative
'default not know the data type then cannot reread ',negative
'default not running ',negative
'default nothing derived classes must override this accomplish anything ',negative
'default operation ',negative
'default reference ',negative
'default value ',negative
'defaultlistmodel listmodel defaultlistmodel listfieldsgetmodel ',negative
'defaults ',negative
'defaultvalue octetlength ordinalposition isnullable ',negative
'define whether not use timestamp internally generated where clauses and what format use ',negative
'defined function with parameter info myfunctin integer tid ',negative
'defined function without parameter info myfunct ',negative
'defines the opening angle the arrow not rad but something fancy ',negative
'defines the size the arrow ',negative
'definition ',negative
'delete ',negative
'delete all old temporary files ',negative
'delete referential action the definition ',negative
'delete temporary dumpsession file ',negative
'delete worked correctly now delete from table important the user and the creator both work through the sortabletablemodel not the actual model thus the row indexes delete are given the sortabletablemodel row numbers must work through that model model actually the delete ',positive
'deletes the last deletes the last ',negative
'depends ',negative
'depends ',negative
'derby real close only difference ive found far instead for float length llimit ',negative
'derby requires that columns notnull before applying unique constraint ',negative
'descriptive headers the script files ',negative
'desct ',negative
'destname ',negative
'destname destname destname ',negative
'destname destname destname destname destname destname destname ',negative
'determine the channel that the user wants stable snapshot ',negative
'determine the number lines draw the foreground ',negative
'determine whether read all there was the blob not ',negative
'determine whether read all there was the clob not ',negative
'dialect delegate for the axion database todo this dialect not yet complete need provide implementations wherever not yet implemented appears ',positive
'dialect delegate for the sun microsystems hadb highavailability database todo this dialect not yet complete need provide implementations wherever not yet implemented appears author manningr ',positive
'dialect delegate for the timesten database todo this dialect not yet complete need provide implementations wherever not yet implemented appears ',positive
'dialect list ',negative
'dialog shown only when written ',negative
'die braucht nur sql server sql server nicht mehr sagt san ',negative
'differences were detected ',negative
'different laf the current one has been requested then change the requested laf ',negative
'different things depending data type ',negative
'diffsourcesession null ',negative
'dimension dim getpreferredsize dimwidth preferredwidth setpreferredsizedim setrows ',negative
'dimension dim spgetpreferredsize dimwidth preferredwidth ',negative
'direction ',negative
'directory ',negative
'directory does not exist ',negative
'directory does not existndo you want create ',negative
'directory doesnt existndo you want create ',negative
'directory home ',negative
'directory not directory ',negative
'directory userdir ',negative
'discovered that the loginame field can null that case how know have the correct view ',positive
'display any warnings generated the sql execution ',negative
'display complete column header tooltip the column isnt wide enough display ',negative
'display database processes ',negative
'display database status ',negative
'display error message and not update the table ',negative
'display global preferences ',negative
'display mode ',negative
'display open tables ',negative
'display the field attributes when selected the list ',negative
'displaying document ',negative
'displaying url ',negative
'does not existnor not readable normal filenplease enter valid file name use browse select file ',negative
'does not support altering column name ',negative
'does not support altering column nullability ',negative
'does not support altering column type ',negative
'doesnt allow the column type altered ',negative
'doesnt support adding autoincrement column once the table has already been created this can simulate one using trigger the table access sequence found this idea wikibooks create sequence sequencename create table tablename columnname int create trigger inserttrigger cascade before insert tablename referencing new for each row set ncolumnname nextval for sequencename ',negative
'doesnt support adding primary keys ',negative
'doesnt support altering columns default value ',negative
'doesnt support altering columns name ',negative
'doesnt support altering columns nullable attribute ',negative
'doesnt support altering columns type attribute ',negative
'doesnt support column comments ',negative
'doesnt support dropping primary keys ',negative
'domain details ',negative
'done after the set the selected item above that control when the initial build done want make sure that under all versions the jdk that the window shown before the possibly lengthy refresh starts ',negative
'done this late that plugins have time register expanders with the object tree prior being built ',negative
'dont add listener button twice because the finddialogsupport class will call this method with the same button instances whenever the replace dialog opened add the listener again and again replace will done often the dialog opened this especially nasty the text replace part the replacement text ',negative
'dont bother changing the delay but stop its running ',negative
'dont bother the user with details about where the result fetch failed they cancelled the query ',negative
'dont call super packing this frame causes problems ',positive
'dont care its not there ',negative
'dont care see tons debug from coltypemapper ',negative
'dont care these throw sqlexception just squelch them and report the user what the outcome the previous statements were ',negative
'dont destroy the timer when theres nothing happening because would mean lot more work every single awt event that gets dispatched ',negative
'dont enable the session drop down empty ',negative
'dont fool around with manual commit later ',negative
'dont increment youre removing something otherwise youd skip the next item ',negative
'dont keep reporting the same hang every ',negative
'dont know any api for getting the event dispatch thread but can assume that its the current thread were the middle dispatching awt event ',negative
'dont log error message here possible that the user interrupted the query because was taking too long just throw the exception and let the caller decide whether not the exception should logged ',negative
'dont need close the resultset will when its finished with ',negative
'dont need tooltips any more ',negative
'dont prevent the user from overriding the laf they choose use swings default laf prop ',negative
'dont try find have already created ',negative
'dont use bit for boolean frontbase then reports binary type instead bit ',negative
'dont use tinyint for now even though mckoi supports its notion tinyint bit not bit not compatible with other dbs and leads overflow resulting negative values which are corruption the actual value insertedupdated this not great workaround filed bug report the mailing list hopefully will get fixed soon ',positive
'dont want update for this button ',negative
'double and float have scale that decimaldigits null assume that because its variable floating point ',negative
'double space since this new version the stored procedure overloading name with different parameters ',negative
'double tablewidth scale ',negative
'download directories ',negative
'download failed ',negative
'download releasexml from the specified location ',negative
'driver available this aliasncan not load driver properties tab ',negative
'driver being used for alias not jdbc compliantnyou should consider getting more recent version this driver ',negative
'driver being used for alias not jdbc compliantnyou should consider getting more recent version this driver ',negative
'driver classname ',negative
'driver classpath ',negative
'driver name hibernate ',negative
'driver properties ',negative
'driver returns for long byte yet can store data ',negative
'driver says supports schemas but doesnt provide schema nodes try get other nodes ',negative
'driver version hibernate ',negative
'drop all columns table must have least one column ',negative
'drop column clauses ',negative
'drop index indexname cascade ',negative
'drop index indexname cascade ',negative
'drop index indexname cascade tablename ',negative
'drop the table that can test our create statement ',negative
'drop view viewname ',negative
'drop view viewname cascade ',negative
'drops the original column ',negative
'dump ',negative
'dump alias information ',negative
'dump aliases ',negative
'dump catalogs ',negative
'dump data types ',negative
'dump driver information ',negative
'dump drivers ',negative
